Samples,H_6h_1,H_6h_2,H_6h_3,H_6h_4,N_6h_1,N_6h_2,N_6h_3,N_6h_4,H_12h_1,H_12h_2,N_12h_1,N_12h_2,N_12h_3,H_D1_1,H_D1_2,H_D1_3,H_D1_4,N_D1_1,N_D1_2,N_D1_3,N_D1_4,H_D2_1,H_D2_2,H_D2_3,H_D2_4,N_D2_1,N_D2_2,N_D2_3,N_D2_4
BCL11A,0.571411870737389,-0.041687974463389,0.446308906940731,0.884493591664807,-2.44113264888029,-3.24871116453195,-3.11368677041327,-2.66399801517847,2.37020195550164,2.133490633318,-0.871553989221364,0.379441076334186,-0.649674692010322,2.03423864942048,2.45104365437479,-0.427037465726732,3.22996740054487,-0.722187221627372,-1.10697002888134,-0.657809094446506,0.207997133541191,0.861153144438763,1.59796329920244,1.57176648006754,1.38244359546364,-0.973338515983996,-2.49101072624819,-2.75164662486925,-1.67831141919341
BCL3,-0.474601857144253,0.0469516429799598,-0.565618245833297,-0.984758271487486,-4.2496258774315,-3.66243415438377,-3.73017421776291,-4.49488675602377,2.78700279929462,0.401036648317438,-1.53042088008094,-1.8132049681082,-2.9637378562351,4.52482466048775,3.33276293043731,2.35288171514896,2.47503363665054,-1.33777752972296,-1.80767365706278,-1.99208186334975,0.278296684629282,3.60920722941736,3.71324022902699,4.13364150058081,3.83462960720279,-4.29657420591336,-3.12337171333587,-4.48803613704904,-3.65743592009178
BCL6,-0.803497902546257,-0.367258351598075,0.157177090935642,-0.882315466256018,2.22803618328846,3.69970438913516,2.69296750883623,2.85306343547177,-1.33211934188315,-1.38671324295107,1.65891911189463,1.76990491982527,2.76320970833248,-2.79286835000606,-2.00775379436923,0.186238554472334,-2.618313476394,1.63544234700255,0.869086567619892,1.26560113379553,0.871659848307616,-1.57271301889387,-2.35606264593952,-2.83761482897556,-1.76964178531474,1.66283167685291,2.11336780646166,2.6337630037049,1.74784006049704
BHLHE40,-1.08576478426838,-1.15303436451399,-0.920182228188407,-0.549769080968537,4.45316009925804,4.23497751484401,4.83932022405584,4.99206766382557,-3.26700561247481,-2.10882456303741,1.5360883778088,-0.0178648951843814,1.13114234655252,-3.36530948304167,-2.41834739599634,-1.02864951192562,-1.73870158569816,0.175824544591,0.354907482542395,0.104905398655015,-0.749103250074585,-1.89218835396023,-1.58741258943237,-1.6111403469285,-1.18812964176427,2.76434331327117,1.90819702210443,2.88359203639175,1.74085360390756
CEBPA,0.557885788546352,-0.0966279273389553,0.50355916836802,-1.22021487003412,-2.08688440631536,-1.52979861677831,-1.9196526060578,-0.67643820158639,0.527825858474654,-0.355913942469305,-2.1089783257514,-0.694100050365052,-1.84091965312704,0.196934068980372,1.68556364819865,0.00786395130626198,1.52789025728092,1.05701733730731,0.722180829069873,1.16992324229103,1.20321356277542,0.283768001060861,0.638044910959069,0.397776987454251,0.439650652869045,0.319313136376533,0.924062654061783,1.38081743007998,0.835144427653449
CEBPB,-1.15607724871053,-1.46226877562945,0.56396314854289,-1.12057503407633,-2.90388391891531,-1.68833677930782,-3.0278659923303,-2.4762425892936,1.41419483910258,-1.08260209510038,-2.65387472794099,-2.07640728857288,-2.31350336260109,1.61164636089948,2.46332820656171,0.425112958290707,1.62887612387666,0.985488460300337,1.44464929784842,0.697212812985315,0.533906289027386,1.72863481942781,1.62836405993052,1.42603036979375,1.57431278772665,-1.06841169521103,-0.0174485782363641,0.598809851724429,-0.570386479767237
CEBPG,0.133536268945947,-1.86896935613034,0.44711923688746,-0.738080087614373,-3.3974642310133,-3.92342864284594,-2.13055935567557,-2.69203127282214,0.0674454045002154,-0.559567880652595,-4.56895554976913,-1.94326469309419,-4.03247772777039,2.81825973727636,2.75369208848007,-0.20493655107202,3.2108453748893,-0.626883534474223,-0.509078704174267,-0.835873206748516,0.353518243017663,0.801909942562803,1.64691585453915,1.75391908682959,1.20718336883995,1.04703414070548,0.969910244457964,0.471531636199159,0.657956054102849
CLOCK,0.897519302725776,0.395827919945058,0.596170251687344,0.914679052316261,-0.65758217630402,-2.46772630189648,-1.79490287812459,-1.62285080904279,0.362551854560069,0.527303125887156,-1.32699435630947,-1.52906930261816,-2.01883863465834,1.50433013484819,2.45656807341689,-0.876565799499682,1.77868307956996,0.257782622901198,-1.28200991407286,-0.660947497601487,-0.934974836599473,0.853193476737356,1.53356691585283,1.23241799377952,0.558274832520219,-0.72434619127968,-1.06507080053106,-1.93157663859777,-0.0904616996487334
CREB1,-0.491627782381404,-0.431590529494162,-3.18263061327005,-1.28451997634234,-1.82108923380077,-2.2124695394497,-1.68284783203386,-2.51261765102021,1.61716211671354,-0.7231018437425,-0.785803967770973,-1.05291704974391,-1.34043189071009,1.41892002491934,1.18607515962856,0.934794684335103,3.23213463873236,-1.28469076711801,-0.288082357102081,0.0815989977999328,-0.823138044662398,1.53941709524767,1.46584541123286,2.17035955343867,1.34133197997847,0.0360104980928127,0.0493230623762282,-0.0506968165113504,-0.528988330636341
CREM,1.68005740119739,0.878035265527165,1.34867746080991,1.61807418698231,-2.54020427026473,-3.4496043835407,-2.40856256950362,-2.81222930520628,2.12051954417363,1.56761219966424,-2.47235276981929,-2.37546388745226,-2.88491315312384,3.35170732013258,3.20822337342727,0.800592419520598,1.99754435096051,-2.0548138675225,-1.79646036774616,-0.862668127449079,-1.37637638224434,2.13953961565645,1.98843233063759,2.8345454817517,2.30573204857936,-2.71127950735003,-3.10401526768,-3.58220336952293,-3.13593813950566
