Samples,Androgen,EGFR,Estrogen,Hypoxia,JAK.STAT,MAPK,NFkB,p53,PI3K,TGFb,TNFa,Trail,VEGF,WNT
H_D1_1,-0.920563470770304,1.18695395869688,-0.195984597520242,1.24583388029256,1.64340574241423,0.972753619627679,1.26237570824151,1.13317496144644,-0.887668066037981,0.950430197623082,1.3513179022862,1.00896219899601,0.620498402927608,-0.290099298668479
H_D1_2,-1.17820440766161,1.1955710732362,-0.693217819537345,1.15810101316028,1.75048923168736,0.422447963235909,0.921230926165112,0.983172764405291,-0.655288977632881,1.06114372044388,0.984105081443367,0.62781539737022,0.311108560300944,-0.166228671976538
H_D1_3,-1.31138994623903,1.3209911438604,-1.14594704117315,1.23220026217973,1.17443963787556,-0.220052897572114,0.596918621173941,0.71110709393327,-1.77000876489072,1.15677275712064,0.792377025654904,0.52739246154959,0.277036731013419,-0.656023470987946
H_D1_4,0.0999066776779171,1.28389116083409,-0.772692950565617,1.20040275513767,0.85113351347826,0.709064477397206,0.499914402998531,-1.10149669948237,-0.535366390912432,1.08440432705242,0.492004254541351,0.97910040603291,0.964878489430724,-0.488335831052829
N_D1_1,0.967117810913389,0.0691887966570748,1.19454062217226,-0.447321275441351,-0.732336007890973,0.807688963352976,0.762821100244228,-1.80628152679972,0.801763794217145,0.816901771157053,0.70525814979542,-1.60849106282141,-0.212207885198662,0.684488182081449
N_D1_2,1.79036311337489,0.273067937127787,1.30855351471842,-0.226489578787651,0.165911528627212,1.05148124550612,0.903456933028345,-1.71321362755123,0.634821826687606,0.739507687781206,0.844212278530307,0.0115028365460689,-0.853732139678792,0.713532793949358
N_D1_3,1.20445665838403,0.206757299747738,0.633020994258624,-0.199372974142961,-0.127713163759992,0.942498255020288,1.08949060450133,-1.55456217963597,0.40670696104472,0.732357553536563,0.998364583543842,-0.564230083636699,-1.15142724599824,0.554189971858986
N_D1_4,0.674724849362379,0.0558824240668701,0.367125824114267,-0.0756016118887557,-0.0384321241739853,0.79906006213028,1.48692014151394,-1.48305013468795,0.441090710463452,1.32389003872513,1.41686755710248,0.404505530535382,-0.217752936756555,0.334283790452179
H_D2_1,-1.65846209376004,0.723022099986967,-1.97192953987525,1.62143632023701,1.00045163954203,-1.21192926805317,1.08786613441339,-0.426107963389938,-1.97479451890414,1.01537533329925,0.926465335555893,0.114129731914133,-0.847720207272551,-1.69949229040808
H_D2_2,-1.70912112596237,0.824027622377982,-1.67368174370479,1.57945734265721,1.34903102286644,-0.868081484213268,0.971275182518475,-0.273171648383033,-2.08053736119475,0.947260223631721,1.03093933939633,1.12769622666137,0.892974627203923,-1.94239699685314
H_D2_3,-0.918764286954172,0.598694050505474,-2.4437274222804,1.57753843360999,1.85060322544377,-0.112449079100628,1.18753847958551,-0.895186214633164,-1.91292585598253,1.05984458118461,1.021681910421,1.46623120116205,0.432066734580387,-1.42111977602326
H_D2_4,-1.11649312620042,0.670219744035872,-1.2301836337795,1.60320589610532,1.15181971034386,-0.71641478122497,1.0816602509708,-1.18660467652176,-1.82553174476206,0.694534001880136,0.949646011488763,0.955141940664242,0.600861599519493,-1.78348537017736
N_D2_1,0.426917482698285,-1.81765448417946,-0.256766494573289,-0.757689515580136,0.133984173840074,-1.71705978521582,-0.8907547801158,0.863439957610826,0.326447945277686,-0.274475613796263,-1.02244247682582,0.606974043507012,-1.02014121209912,-0.728530074572541
N_D2_2,0.872550735548501,-0.822977993457616,-0.297647989072453,-0.514440815068233,0.554638985052092,-1.11000623129986,-0.718613436379761,1.03474396397217,0.175562063476606,0.407962209530669,-0.780387192933302,0.0878856353113497,-0.653700491925096,-0.797480321798434
N_D2_3,0.388912537020688,-2.04024606459813,0.568784100927379,-0.661792313376588,0.573418295729061,-1.67928546272971,-0.734763595776281,0.829802397468523,0.0744609075209575,-0.509778855690565,-0.800485211626519,1.09665472627891,0.106271402936787,-1.02356350505904
N_D2_4,1.39218096047858,-1.18509184577575,-0.245349499360726,-0.623083890617454,0.290676429390438,-0.889341208767405,-0.686527228034567,1.248774588155,0.227061762497969,0.257695981438731,-0.850245173737927,1.45358385778026,-0.496043551117309,-1.16288344146334
