Gene	H_6h_1	H_6h_2	H_6h_3	H_6h_4	N_6h_1	N_6h_2	N_6h_3	N_6h_4	H_12h_1	H_12h_2	N_12h_1	N_12h_2	N_12h_3	H_D1_1	H_D1_2	H_D1_3	H_D1_4	N_D1_1	N_D1_2	N_D1_3	N_D1_4	H_D2_1	H_D2_2	H_D2_3	H_D2_4	N_D2_1	N_D2_2	N_D2_3	N_D2_4
SPRYD3	44.004	44.376	44.834	42.691	52.105	54.711	53.766	53.139	37.636	38.023	50.938	50.69	49.847	22.832	28.274	26.7	23.989	49.403	46.899	45.172	42.412	10.574	12.446	12.48	9.974	59.513	60.266	61.347	56.753
IGFBP6	0.307	0.445	0.609	0.389	0.751	0.632	0.499	0.595	0.874	0.604	0.859	0.699	0.713	0.692	1.145	1.301	1.022	0.937	0.353	0.572	0.57	1.195	1.008	1.153	1.055	0.301	0.369	0.29	0.306
SOAT2	1.466	1.479	1.403	1.404	1.896	2.157	1.835	1.113	1.299	1.511	2.655	3.144	2.272	1.162	1.369	2.548	1.672	3.656	3.707	2.946	2.775	0.624	0.529	0.727	0.818	5.607	5.194	5.882	4.381
ZNF558	18.805	18.673	17.258	17.479	16.317	16.189	15.433	15.723	20.447	20.112	15.097	14.965	16.721	18.543	20.144	21.658	18.113	17.593	18.477	18.465	18.332	12.211	11.337	8.495	7.81	16.711	18.095	18.806	15.793
NDUFV1	159.647	176.263	168.723	171.052	179.767	186.925	190.635	183.568	159.281	153.948	194.954	192.801	188.213	108.017	106.864	127.67	96.535	188.989	179.477	186.404	181.961	73.292	66.058	63.252	68.734	201.678	209.183	213.553	195.223
CDK2AP2	63.491	65.276	63.033	61.727	54.978	60.267	55.713	53.869	69.535	67.22	65.904	64.84	64.851	60.166	55.402	62.507	49.719	76.558	67.024	67.527	66.294	52.04	50.01	52.401	52.296	75.868	83.407	81.291	76.367
NUDT8	6.734	7.666	6.792	6.227	10.665	11.7	12.359	10.463	7.249	8.697	14.186	12.316	13.578	5.203	7.18	9.623	6.642	15.312	13.887	17.409	16.251	5.222	5.266	5.789	5.33	14.386	18.144	16.383	16.099
TBX10	3.631	3.308	3.802	3.08	3.455	3.421	3.363	3.609	4.935	3.949	3.826	4.309	4.517	5.452	4.777	7.427	6.386	4.375	5.649	5.188	5.549	5.82	5.87	6.641	5.541	5.771	8.493	7.477	7.158
PRDX2	176.509	202.666	188.99	195.503	201.755	210.151	213.358	201.288	191.676	197.797	221.789	214.23	210.456	140.647	158.019	206.929	171.474	209.675	195.424	200.758	201.433	103.794	102.715	98.763	108.471	163.907	180.527	179.38	187.122
ZNF232	6.001	6.521	6.11	6.024	8.712	8.781	8.948	8.485	3.636	4.186	8.277	7.046	7.634	1.024	1.537	1.952	1.718	7.531	7.326	6.88	6.292	0.546	0.403	0.326	0.765	6.154	5.958	7.746	6.98
MIS12	24.329	24.542	24.973	23.672	34.042	35.014	32.604	33.442	15.088	19.033	30.349	27.252	29.137	5.729	8.409	7.319	6.618	29.311	28.069	28.51	23.039	2.624	2.595	2.932	2.929	27.815	27.893	28.084	27.409
HID1	117.655	108.888	118.222	108.97	104.849	113.453	106.84	100.212	144.029	121.255	113.536	121.119	117.128	145.407	144.916	125.366	122.869	108.275	108.51	110.941	107.492	143.129	128.766	115.729	121.136	132.674	130.872	124.826	120.613
MRPL58	22.709	26.546	24.494	26.193	32.596	34.775	37.818	36.725	15.347	17.781	27.981	27.63	26.205	8.081	7.487	10.327	7.431	26.873	28.098	27.345	25.665	2.676	3.074	3.057	3.562	23.74	24.028	27.732	24.454
ATP5PD	81.75	91.217	90.462	86.855	100.38	107.069	114.741	110.176	73.384	68.364	90.944	84.405	86.882	61.938	63.28	86.035	60.843	79.308	78.264	90.982	93.817	62.796	65.328	64.656	64.987	88.121	91.162	103.1	98.86
TMEM88	0.529	0.35	0.461	0.288	0.563	0.436	0.451	0.653	0.307	0.281	0.312	0.67	0.37	0.138	0.168	0.271	0.186	0.375	0.147	0.396	0.248	0.13	0.05	0	0.053	0.465	0.394	0.456	0.382
EVPL	40.543	42.515	38.466	39.172	42.792	40.309	36.498	35.573	43.161	38.886	45.524	55.435	52.779	25.544	29.196	29.031	27.82	49.56	45.134	51.437	47.615	17.511	14.436	10.55	14.776	48.026	43.747	35.603	38.005
SRP68	167.217	157.686	172.174	159.749	151.246	149.208	158.449	154.58	153.945	145.855	140.866	138.035	136.333	163.922	150.643	129.08	139.357	139.523	139.08	137.627	123.793	143.597	145.091	144.674	142.191	134.971	129.296	133.401	126.803
TMC8	0.648	0.748	0.683	0.558	0.338	0.588	0.274	0.269	0.85	0.949	0.416	0.262	0.423	0.554	0.503	1.03	0.534	0.219	0.471	0.33	0.248	0.468	0.731	0.276	0.317	0.082	0.025	0.062	0.051
TK1	64.616	69.825	69.18	69.274	75.05	85.52	77.277	75.543	57.989	55.696	68.117	66.907	68.047	36.642	36.432	42.476	36.668	92.213	82	85.86	82.372	22.448	21.062	20.499	23.378	60.47	49.705	60.601	52.728
TMEM68	41.651	41.847	40.607	43.233	33.704	32.356	33.054	33.98	42.382	43.094	36.232	37.908	39.624	46.163	43.221	42.367	51.67	36.592	43.192	39.699	46.896	30.294	31.165	35.511	37.626	35.746	37.125	36.659	41.266
